id,created_at,label,content,type,remark,title,level,img_url
"48","2026-07-14T08:10:13.328939+00:00","shopee","假设虾皮展示次数仅仅由销量权重影响（理论上和点击率转化率是有关的，不然本来销量权重高排名高的就无法超越了，不过因为虾皮权重不影响出价，高排名需要高出价，如果转化率能够维持roi那确实也证明产品是可以的无法超越也正常，一般通过活动拉开差距即可，提升的销量对权重的影响是根据竞品数量决定的，权重也会进行排行，那如果是单纯销量权重排行就很单纯了，权重决定是否展示的逻辑应该是这样的，先根据权重决定是否展示再根据出价进行排名），出价仅仅影响排名，而排名也会影响展示次数，因为即使销量权重决定展示了，买家不一定滑到对应低排名位置，因此出价低了排名低了展示次数会直接减少，然后排名低本身就影响点击率转化率，所以也会让销量更低，销量权重则降低很多导致展示次数再次降低。而通过提高出价冲销量也是同理，排名高了即使一开始销量权重一样低展示次数也会因为排名增加，点击率转化率变高，销量先增加一个档次，随着销量增加销量权重也增加，这样展示更多销量继续增加销量权重再增加。
以上便是出价影响排名影响展示次数及点击率转化率的过程。
产品本身优秀的话靠着比竞品高的点击率转化率自然销量权重慢慢比竞品高了，但是出价依旧影响着这些。
如果产品和竞品竞争力差不多，就很需要冲销量权重。如果出价排名10-30的产品竞争力差不多，那谁出价高冲过销量，基本上谁就更多展示。

增加预算是增加曝光量增加销量，慢慢增加权重提高排名，
增加出价更多是增加排名权重，当然排名上升也会增加曝光量和转化率提高，导致销量增长，
增加预算，在大家点击率转化率一样的情况下，那就是只有销量权重影响曝光量和排名，增加预算等于广告单增加，然后总单量增加，慢慢自然权重增加，总单量再增加更高，即使再降低预算，之前累计的权重还在，展示次数依旧比之前多，在相同销量的竞品广告竞争中就需要点击率转化率来决胜负了，或者说虾皮的权重影响着每次是否分配展示，同时需要预算来报名，没有预算的话虾皮广告单有这个权重能展示也没有报名费，所以减少预算就是减少这部分的展示，与之前相比重点是以前有预算也跑不动，因为没有权重有报名费也没有展示次数，而且最重要是转化率，这样才敢给足够预算跑。
亚马逊的只是立马减少了广告单，但是总单量或者自然单是增加的了，总销量只是少了立马减少的广告预算这些广告单，更不用说广告权重也提升了，这样在点击率转化率不变情况下销量始终比之前高，权重始终比之前高，更不用说排名权重销量评价越高点击率转化率越高权重越高。


如果广告占比小于15%，ROI没有经常跑超出设置的ROI（检查跑超出则出价绰绰有余），那如果净利率大于15%则不建议增加ROI，一般ROI7-8不错了。特殊类目可能有15-20，普通类目就是7-8最多，很多时候调整了ROI会影响算法导致销量下降严重，风险太大，算法调整需要时间，可以自己关键词出价的倒是不担心这些可以随便调整，一般ROI在5-6觉得太低时也是实际ROI和设置ROI差距小于1时调整影响小一点。

大量数据证明如果套用与设置roi差距不到1，证明广告流量不会太差，除了高销量竞品比较多的产品或者流量上限低也有同款竞品的产品（代表也容易一起展示）roi不能太高并且出价偏高才能高销量的产品，其它产品设置8roi是没问题的，至少也可以7，即使竞品多但是流量大受众不单一的品没这么吃出价。

虽然roi基本上是往类目平均roi设置的，但是本质上是看产品净利的，在有基础销量后往往需要保证毛利率30%，净利10%，首先是保证资金投入风险低，第二是虾皮产品链接不稳定，容易被拿权重，因此风险控制也很重要。
所以毛利不变情况下广告占比低就可以低roi一点，占比高就高roi一点，对创业来说投入低产出高最重要，一是风险低二是用钱到毛利率高的品上产出更多的钱。等资金稳定再去追求高销量总利润高的品，因为单靠低销量高利润的品是很难发财的，也很难管理。","0","","电商算法权重","1",""
"51","2026-07-15T06:50:16.455923+00:00","ROI调整","竞品少的产品慢慢跑就行了，两个理由：
一是不吃排名，不会因为打法而影响太大。
二是不急着做起来，因为同款少，稳才最好，等广告优化好链接基础销量好了转化率不错了再降低roi或者活动一报就可能慢慢起来了，不怕到不了上限，况且上限高的产品因为竞品少无论什么排名转化率都偏高，自然就起来了。","0","","ROI调整判断","1",""
"18","2026-06-29T01:34:39.301043+00:00","ROI调整","自动范围跑出的实际ROI不一定比固定roi低，因为出价即使高可能排名高让转化率更高，自动范围的自动广告测试流量更快，容易起量起权重更快，固定roi5左右一般会慢一些，不同产品效果不一样，如果是需求偏高的一般自动范围快很多ROI也好，需求偏低的就自动固定都没差多少，就这么大区别，自动范围roi经常比固定还高，固定的估计唯一优势是控制预算，资金紧缺的时候使用，或者本身竞争很小需求很小的产品使用。

推荐自动范围，一直到稳定出单至少三四天再改，稳定5-10+销量，一般来说自动会跑出4-6ROI，如果跑得高可以10-20+稳定销量再固定5-6都可，可以根据是否有免佣期，库存量和毛利率以及市场需求判断要稳定多少销量再固定。","0","","虾皮新品自动广告设置固定和自动范围区别？","1",""
"9","2026-06-26T02:18:56.172382+00:00","git","# 禁用凭证管理器，Windows/macOS/Linux通用
git config --global credential.helper """"
# 仅当前命令行窗口生效，关闭终端自动消失
git config user.name ""你的用户名""
git config user.email ""你的邮箱""
关联远程地址
git remote add origin https://github.com/xuhaoyu57/notes.git
","1","","临时使用的电脑怎么使用git可以隔天就没账号信息？","1",""
"10","2026-06-26T02:41:21.231214+00:00","supabase","那就是没关闭RLS","1","","supabase.com获取数据如果是0条而数据表是有数据的？","1",""
"11","2026-06-26T02:44:57.286553+00:00","git代理","git config --global http.proxy http://127.0.0.1:7890
git config --global https.proxy http://127.0.0.1:7890（7890代理端口，根据实际改）","1","","Git 全局走代理","1",""
"16","2026-06-26T02:59:29.150222+00:00","shopee","https://help.shopee.ph/portal/webform/48c4534c03bf487c861051d6e5585307","0","","菲律宾申诉","1",""
"19","2026-06-29T06:58:44.346565+00:00","电商AI应用","Chatgpt目前生成图片最能理解用户意图，但是要钱，免费的很少，但是可以利用它生成AI描述，只需要简单描述要求，很多AI工具，生成图片视频的很容易将产品本身都改变了，因此第一步就指定不能改变的是什么，然后是展示效果的要求，例如保证产品外观一致，展示全部颜色，突出xxx卖点。","0","","当前比较准确AI生图应用","1",""
"40","2026-07-06T02:58:34.793633+00:00","git","在Github设置中获取push所需token","1","","GIT Token","1","https://daixzsefottmustefsuj.supabase.co/storage/v1/object/images/1783306691697screenshot_2026-07-06_105556_771.png"
"28","2026-06-30T09:00:44.767494+00:00","ROI调整","7A老链接销量每天50-100，新链接跑了两个月了还没有稳定过10单，期间试过各种各样的ROI，最后是4.9ROI一个星期了也还是一样低，ROI也低，所以链接能不能起来不是看出价低不低，而是点击率转化率是不是有竞争力，有竞争力权重就会慢慢增加，销量也能增加，互相促进，所以新品ROI小于5连续四天没增长销量就没必要低ROI跑，设置可以盈利的ROI即可，例如5-6慢慢盈利起量，并不是所有产品都这么吃出价的，可以通过老链接或者自己跑得比较好的数据看出价范围，得到的结果大概是产品的优质流量出价，一般来说同款放一起概率不大，出价影响的最重要是排名和出价是否能投进去这个优质词，当然出价太低的排名太低后面的流量本身就是喜欢逛不买的垃圾流量同时同款多的话很大概率还是看过同款不买的，这样点击率转化率更低，一般需求偏大同款多才特别看重出价。","0","","新链接即使确定产品需求很高，保持长时间低roi也不一定能起来","1",""
